Id Family Subfamily
P31749 AGC Akt
P31751 AGC Akt
Q9Y243 AGC Akt
O14578 AGC DMPK
Q09013-9 AGC DMPK
Q5VT25-3 AGC DMPK
Q9Y5S2 AGC DMPK
Q13464 AGC DMPK
O75116 AGC DMPK
P32298 AGC GRK
P34947 AGC GRK
P43250 AGC GRK
Q15835 AGC GRK
Q8WTQ7 AGC GRK
Q9Y2H9 AGC MAST
Q6P0Q8 AGC MAST
O15021-4 AGC MAST
O95835 AGC NDR
Q15208 AGC NDR
Q9Y2H1 AGC NDR
O15530 AGC PDK1
P17612 AGC PKA
P22694 AGC PKA
P22612 AGC PKA
P51817 AGC PKA
P17252 AGC PKC
P05771-2 AGC PKC
P05129 AGC PKC
Q05655 AGC PKC
Q04759 AGC PKC
Q02156 AGC PKC
P24723 AGC PKC
Q05513 AGC PKC
Q13976-2 AGC PKG
Q13237 AGC PKG
Q16512 AGC PKN
Q16513 AGC PKN
Q6P5Z2 AGC PKN
O75676 AGC RSK
O75582 AGC RSK
P23443 AGC RSK
Q9UBS0 AGC RSK
Q15418 AGC RSK
Q15349 AGC RSK
P51812 AGC RSK
Q9UK32 AGC RSK
Q96S38 AGC RSKL
O00141 AGC SGK
Q9HBY8-2 AGC SGK
Q96BR1 AGC SGK
Q9NY57 AGC YANK
Q8WU08-2 AGC YANK
Q86UX6 AGC YANK
Q8NI60 Atypical ABC1
Q96D53 Atypical ABC1
Q86TW2-2 Atypical ABC1
Q7Z695 Atypical ABC1
Q96L96 Atypical Alpha
Q9BX84 Atypical Alpha
O00418 Atypical Alpha
P11274 Atypical BCR
P25440 Atypical BRD
Q15059 Atypical BRD
O60885-2 Atypical BRD
Q14296 Atypical FAST
P49842 Atypical G11
Q9UJY1 Atypical H11
Q15118 Atypical PDHK
Q15119 Atypical PDHK
Q15120 Atypical PDHK
Q16654 Atypical PDHK
Q13315 Atypical PIKK
P78527 Atypical PIKK
P42345 Atypical PIKK
Q96Q15 Atypical PIKK
Q9Y4A5-2 Atypical PIKK
Q9BRS2 Atypical RIO
O14730 Atypical RIO
P21675-2 Atypical TAF1
Q8IZX4 Atypical TAF1
O15164 Atypical TIF1
Q13263 Atypical TIF1
Q9UPN9 Atypical TIF1
Q16566 CAMK CAMK1
Q14012 CAMK CAMK1
Q8IU85-2 CAMK CAMK1
Q96NX5 CAMK CAMK1
Q9UQM7 CAMK CAMK2
Q13554-2 CAMK CAMK2
Q13557 CAMK CAMK2
Q13131 CAMK CAMKL
P54646 CAMK CAMKL
Q8IWQ3-3 CAMK CAMKL
Q8TDC3 CAMK CAMKL
P57058 CAMK CAMKL
Q15831 CAMK CAMKL
Q96L34-2 CAMK CAMKL
Q14680 CAMK CAMKL
Q8IY84 CAMK CAMKL
O60285 CAMK CAMKL
Q96RG2 CAMK CAMKL
Q9H0K1 CAMK CAMKL
P57059 CAMK CAMKL
Q9BYT3 CAMK CAMK-Unique
Q8NCB2 CAMK CAMK-Unique
P53355 CAMK DAPK
O43293 CAMK DAPK
Q9UIK4 CAMK DAPK
O94768 CAMK DAPK
Q9UEE5 CAMK DAPK
O15075-2 CAMK DCAMKL
Q16644 CAMK MAPKAPK
Q8IW41-2 CAMK MAPKAPK
P49137-2 CAMK MAPKAPK
Q9HBH9-2 CAMK MAPKAPK
Q9BUB5 CAMK MAPKAPK
Q15746 CAMK MLCK
Q9H1R3 CAMK MLCK
Q16816 CAMK PHK
P15735 CAMK PHK
P11309-2 CAMK PIM
Q9P1W9 CAMK PIM
O94806 CAMK PKD
Q9BZL6 CAMK PKD
P11801 CAMK PSK
Q96QS6 CAMK PSK
O96017 CAMK RAD53
Q8N2I9 CAMK SgK495
Q96RU8 CAMK Trbl
Q92519 CAMK Trbl
Q96RU7 CAMK Trbl
O75962 CAMK Trio
Q96PN8 CAMK TSSK
Q9BXA7 CAMK TSSK
Q9BXA6 CAMK TSSK
Q6SA08 CAMK TSSK
P48729 CK1 CK1
P48730-2 CK1 CK1
P49674 CK1 CK1
Q9Y6M4 CK1 CK1
Q9HCP0 CK1 CK1
Q5TCY1 CK1 TTBK
Q6IQ55 CK1 TTBK
Q99986 CK1 VRK
